資料日期,基金代號,單位淨值,發行單位數,總淨值
"1130621",="00841B","32.243","80,940,000","2,609,759,481"
"1130621",="00840B","32.449","59,431,000","1,928,493,829"
"1130621",="00836B","31.675","378,041,000","11,974,585,653"
"1130621",="00834B","35.579","20,198,000","718,631,228"
"1130621",="00831B","40.868","100,000","4,086,757"
"1130621",="00799B","33.456","9,036,000","302,311,980"
"1130621",="00795B","30.8","1,511,598,000","46,556,649,317"
"1130621",="00794B","40.998","31,687,000","1,299,110,053"
"1130621",="00793B","33.778","4,526,000","152,880,377"
"1130621",="00792B","34.737","1,579,115,000","54,852,923,969"
"1130621",="00791B","56.398","253,600,000","14,302,611,995"
"1130621",="00790B","56.025","2,100,000","117,651,624"
"1130621",="00789B","53.378","278,100,000","14,844,357,542"
"1130621",="00788B","32.421","35,206,000","1,141,426,520"
"1130621",="00787B","35.496","15,806,000","561,047,546"
"1130621",="00786B","34.543","37,566,000","1,297,642,753"
"1130621",="00785B","36.45","906,966,000","33,058,638,570"
"1130621",="00784B","38.823","2,993,000","116,196,927"
"1130621",="00782B","33.476","21,967,000","735,355,411"
"1130621",="00781B","33.469","5,836,000","195,327,275"
"1130621",="00780B","37.69","238,602,000","8,992,903,129"
"1130621",="00779B","32.115","878,650,000","28,217,648,997"
"1130621",="00778B","37.255","1,366,650,000","50,914,803,759"
"1130621",="00777B","35.984","1,653,150,000","59,487,518,857"
"1130621",="00773B","37.58","2,303,790,000","86,576,419,489"
"1130621",="00772B","36.282","3,773,790,000","136,922,139,913"
"1130621",="00768B","56.432","334,600,000","18,882,138,286"
"1130621",="00764B","31.918","1,180,000,000","37,663,551,490"
"1130621",="00761B","37.411","2,575,589,000","96,354,513,317"
"1130621",="00760B","55.44","437,520,000","24,256,299,749"
"1130621",="00759B","58.21","48,025,000","2,795,569,280"
"1130621",="00758B","54.07","5,525,000","298,728,918"
"1130621",="00756B","33.245","1,318,300,000","43,826,907,867"
"1130621",="00755B","35.04","179,730,000","6,297,753,059"
"1130621",="00754B","37.112","1,072,900,000","39,817,072,762"
"1130621",="00751B","35.341","4,579,603,000","161,847,380,328"
"1130621",="00750B","36.084","126,000,000","4,546,637,125"
"1130621",="00749B","32.497","952,000,000","30,937,519,844"
